# Hostinger International Limited,,,,
# Prefixes located at Australia - Sydney,,,,
89.116.20.0/24,IN,,Mumbai,
89.116.21.0/24,IN,,Mumbai,
89.116.32.0/24,IN,,Mumbai,
89.116.33.0/24,IN,,Mumbai,
89.116.34.0/24,IN,,Mumbai,
89.116.121.0/24,IN,,Mumbai,
89.116.122.0/24,IN,,Mumbai,
89.116.133.0/24,IN,,Mumbai,
89.116.134.0/24,IN,,Mumbai,
89.116.136.0/24,IN,,Mumbai,
89.116.138.0/24,IN,,Mumbai,
89.117.27.0/24,IN,,Mumbai,
89.117.157.0/24,IN,,Mumbai,
89.117.188.0/24,IN,,Mumbai,
89.117.245.0/24,IN,,Mumbai,
91.108.104.0/21,IN,,Mumbai,
93.127.166.0/23,IN,,Mumbai,
93.127.168.0/23,IN,,Mumbai,
93.127.172.0/23,IN,,Mumbai,
93.127.185.0/24,IN,,Mumbai,
93.127.194.0/23,IN,,Mumbai,
93.127.198.0/23,IN,,Mumbai,
93.127.206.0/24,IN,,Mumbai,
93.127.207.0/24,IN,,Mumbai,
93.127.208.0/24,IN,,Mumbai,
145.79.56.0/21,IN,,Mumbai,
145.79.208.0/21,IN,,Mumbai,
145.223.16.0/21,IN,,Mumbai,
147.79.64.0/21,IN,,Mumbai,
147.93.16.0/20,IN,,Mumbai,
147.93.96.0/20,IN,,Mumbai,
148.135.136.0/21,IN,,Mumbai,
148.230.64.0/22,IN,,Mumbai,
148.230.68.0/23,IN,,Mumbai,
157.173.216.0/21,IN,,Mumbai,
168.231.102.0/23,IN,,Mumbai,
168.231.120.0/22,IN,,Mumbai,
178.16.136.0/22,IN,,Mumbai,
185.124.110.0/24,IN,,Mumbai,
185.124.111.0/24,IN,,Mumbai,
185.199.52.0/24,IN,,Mumbai,
185.199.53.0/24,IN,,Mumbai,
191.96.159.0/24,IN,,Mumbai,
193.202.44.0/23,IN,,Mumbai,
193.203.160.0/22,IN,,Mumbai,
193.203.184.0/22,IN,,Mumbai,
194.164.148.0/22,IN,,Mumbai,
194.238.16.0/21,IN,,Mumbai,
195.35.4.0/22,IN,,Mumbai,
195.35.20.0/22,IN,,Mumbai,
195.35.44.0/22,IN,,Mumbai,
212.38.94.0/24,IN,,Mumbai,
213.210.21.0/24,IN,,Mumbai,
213.210.36.0/24,IN,,Mumbai,
213.210.37.0/24,IN,,Mumbai,
217.21.80.0/20,IN,,Mumbai,
2a02:4780:11::/48,IN,,Mumbai,
2a02:4780:12::/48,IN,,Mumbai,
2a02:4780:1f::/48,IN,,Mumbai,
2a02:4780:20::/48,IN,,Mumbai,
2a02:4780:3c::/48,IN,,Mumbai,
2a02:4780:3d::/48,IN,,Mumbai,
2a02:4780:57::/48,IN,,Mumbai,
2a02:4780:61::/48,IN,,Mumbai,
2a02:4780:62::/48,IN,,Mumbai,
